Labels,R3B_film 1_exc_em630,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,620.00,
Step,1.00,
Fixed/Offset,630.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,66.950,
Scan Polariser,None,
Scan Slit,2.9999809,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.4999860,
Detector,Det 1,

510.00,2.62781177E+3,
511.00,2.80309082E+3,
512.00,2.77918481E+3,
513.00,2.78862183E+3,
514.00,2.92053076E+3,
515.00,2.88660742E+3,
516.00,3.10643384E+3,
517.00,2.84235596E+3,
518.00,2.96774707E+3,
519.00,2.92449048E+3,
520.00,3.10819873E+3,
521.00,3.17969897E+3,
522.00,3.12661743E+3,
523.00,3.25621680E+3,
524.00,3.13207422E+3,
525.00,3.35775293E+3,
526.00,3.54089941E+3,
527.00,3.40765552E+3,
528.00,3.42288989E+3,
529.00,3.42848218E+3,
530.00,3.28909766E+3,
531.00,3.45643408E+3,
532.00,3.41060205E+3,
533.00,3.52291699E+3,
534.00,3.49332275E+3,
535.00,3.41181665E+3,
536.00,3.65569238E+3,
537.00,3.70036108E+3,
538.00,3.60734326E+3,
539.00,3.73592139E+3,
540.00,3.69550439E+3,
541.00,3.54491431E+3,
542.00,3.36819092E+3,
543.00,3.60295923E+3,
544.00,3.46241553E+3,
545.00,3.49899463E+3,
546.00,3.66137695E+3,
547.00,3.42540869E+3,
548.00,3.47280469E+3,
549.00,3.62058984E+3,
550.00,3.58072314E+3,
551.00,3.41741455E+3,
552.00,3.53420947E+3,
553.00,3.64061353E+3,
554.00,3.69661377E+3,
555.00,3.90160303E+3,
556.00,3.77518213E+3,
557.00,3.80357715E+3,
558.00,3.82154395E+3,
559.00,4.06739209E+3,
560.00,4.19820410E+3,
561.00,4.30933252E+3,
562.00,4.13312109E+3,
563.00,4.03650146E+3,
564.00,4.19094092E+3,
565.00,4.10089160E+3,
566.00,4.02845410E+3,
567.00,4.25190527E+3,
568.00,4.34706592E+3,
569.00,4.46739893E+3,
570.00,4.23066016E+3,
571.00,4.25796973E+3,
572.00,4.35680518E+3,
573.00,4.61880615E+3,
574.00,4.26875488E+3,
575.00,4.46566064E+3,
576.00,4.26360840E+3,
577.00,4.46730371E+3,
578.00,4.53825000E+3,
579.00,4.40489404E+3,
580.00,4.59377100E+3,
581.00,4.19710889E+3,
582.00,4.50738428E+3,
583.00,4.37627441E+3,
584.00,4.07628711E+3,
585.00,4.26103223E+3,
586.00,3.96344775E+3,
587.00,4.19048535E+3,
588.00,3.88956079E+3,
589.00,4.06193799E+3,
590.00,3.84870215E+3,
591.00,3.62001270E+3,
592.00,3.70739502E+3,
593.00,3.58586816E+3,
594.00,3.07237866E+3,
595.00,3.21831250E+3,
596.00,3.06398779E+3,
597.00,2.74610693E+3,
598.00,2.58759448E+3,
599.00,2.61803735E+3,
600.00,2.40441553E+3,
601.00,2.40914258E+3,
602.00,2.16293701E+3,
603.00,2.03677539E+3,
604.00,1.81448962E+3,
605.00,1.75825476E+3,
606.00,1.69220801E+3,
607.00,1.58350244E+3,
608.00,1.53199622E+3,
609.00,1.43832861E+3,
610.00,1.26257776E+3,
611.00,1.26593079E+3,
612.00,1.20097668E+3,
613.00,1.28242285E+3,
614.00,1.19446313E+3,
615.00,1.16571033E+3,
616.00,1.15714404E+3,
617.00,1.07502734E+3,
618.00,1.17706641E+3,
619.00,1.19675049E+3,
620.00,1.30470801E+3,
