Labels,R3B_film 2_exc_em630,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,620.00,
Step,1.00,
Fixed/Offset,630.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,66.950,
Scan Polariser,None,
Scan Slit,2.9999809,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.4999860,
Detector,Det 1,

510.00,3.21957080E+3,
511.00,3.38972852E+3,
512.00,3.09527832E+3,
513.00,3.52752930E+3,
514.00,3.29682910E+3,
515.00,3.45932813E+3,
516.00,3.49611328E+3,
517.00,3.42202051E+3,
518.00,3.42196118E+3,
519.00,3.48967432E+3,
520.00,3.62008228E+3,
521.00,3.82354370E+3,
522.00,3.72287085E+3,
523.00,3.69161328E+3,
524.00,3.79296875E+3,
525.00,3.82718506E+3,
526.00,4.01082495E+3,
527.00,3.96437793E+3,
528.00,3.93782227E+3,
529.00,3.83806543E+3,
530.00,3.88642090E+3,
531.00,4.02637720E+3,
532.00,4.03720850E+3,
533.00,4.12929883E+3,
534.00,4.08695508E+3,
535.00,4.07897607E+3,
536.00,4.31958594E+3,
537.00,4.09787012E+3,
538.00,4.38418311E+3,
539.00,4.16852051E+3,
540.00,4.24973828E+3,
541.00,4.24630664E+3,
542.00,4.05513477E+3,
543.00,4.07431885E+3,
544.00,4.19236963E+3,
545.00,4.20537549E+3,
546.00,4.23744971E+3,
547.00,4.25509717E+3,
548.00,4.02717334E+3,
549.00,4.16544824E+3,
550.00,4.03773047E+3,
551.00,4.28703027E+3,
552.00,4.33359229E+3,
553.00,4.20911621E+3,
554.00,4.40297363E+3,
555.00,4.28128516E+3,
556.00,4.70389355E+3,
557.00,4.52912695E+3,
558.00,4.76042480E+3,
559.00,4.60805859E+3,
560.00,4.52749707E+3,
561.00,4.81076025E+3,
562.00,4.91937988E+3,
563.00,5.01208154E+3,
564.00,4.80495313E+3,
565.00,4.94496387E+3,
566.00,4.65237793E+3,
567.00,5.18213818E+3,
568.00,4.90573291E+3,
